Name,Year,Country,Type,Captain
Neptune 54,1950,UK,PASSENGER,Hans Müller
Viking 84,1950,China,TANKER,Jean Dupont
Nautilus 31,1950,UK,TANKER,Carlos Sanchez
Aurora 22,1950,UK,PASSENGER,Hans Müller
Nautilus 44,1950,UK,BULK_CARRIER,Jean Dupont
Titanic 45,1950,UK,TANKER,Carlos Sanchez
Aurora 14,1950,France,PASSENGER,John Smith
Titanic 92,1950,UK,TANKER,William Brown
Titanic 100,1950,Russia,PASSENGER,Jean Dupont
Poseidon 79,1950,Germany,BULK_CARRIER,Li Wei
Enterprise 42,1950,China,BULK_CARRIER,Ivan Petrov
Poseidon 83,1950,Germany,TANKER,Li Wei
Odyssey 23,1950,UK,TANKER,Hans Müller
Neptune 66,1950,China,BULK_CARRIER,John Smith
Viking 4,1950,France,TANKER,Jean Dupont
Neptune 1,1950,Russia,TANKER,William Brown
Enterprise 28,1950,Russia,PASSENGER,Hans Müller
Aurora 70,1950,UK,TANKER,Jean Dupont
Enterprise 81,1950,Japan,PASSENGER,Jean Dupont
Viking 11,1950,UK,TANKER,Ivan Petrov
Odyssey 1,1950,USA,PASSENGER,John Smith
Viking 49,1950,Germany,PASSENGER,Carlos Sanchez
Poseidon 9,1950,Germany,PASSENGER,Carlos Sanchez
Neptune 71,1950,China,PASSENGER,Hans Müller
Neptune 27,1950,USA,BULK_CARRIER,Li Wei
Neptune 96,1950,France,PASSENGER,Carlos Sanchez
Aurora 53,1950,Japan,TANKER,Hans Müller
Titanic 81,1950,Germany,TANKER,Li Wei
Odyssey 69,1950,China,BULK_CARRIER,Li Wei
Viking 95,1950,USA,TANKER,Ivan Petrov
Neptune 2,1950,Japan,PASSENGER,John Smith
Nautilus 25,1950,China,TANKER,William Brown
Neptune 42,1950,Russia,TANKER,John Smith
Neptune 68,1950,Russia,TANKER,Li Wei
Aurora 76,1950,UK,PASSENGER,John Smith
Neptune 92,1950,Germany,TANKER,Ivan Petrov
Neptune 89,1950,Germany,BULK_CARRIER,Li Wei
Neptune 93,1950,Russia,BULK_CARRIER,Li Wei
Nautilus 69,1950,USA,BULK_CARRIER,Jean Dupont
Enterprise 74,1950,Russia,TANKER,Carlos Sanchez
Neptune 65,1950,China,TANKER,John Smith
Aurora 53,1950,Japan,BULK_CARRIER,Jean Dupont
Odyssey 57,1950,Japan,TANKER,Carlos Sanchez
Viking 36,1950,France,PASSENGER,Jean Dupont
Aurora 1,1950,USA,TANKER,Carlos Sanchez
Neptune 37,1950,UK,TANKER,Ivan Petrov
Aurora 45,1950,USA,PASSENGER,Li Wei
Nautilus 24,1950,USA,PASSENGER,Jean Dupont
Poseidon 4,1950,UK,TANKER,Li Wei
Poseidon 14,1950,USA,TANKER,Ivan Petrov
Enterprise 88,1950,Japan,BULK_CARRIER,Ivan Petrov
Poseidon 46,1950,Japan,BULK_CARRIER,Ivan Petrov
Viking 8,1950,UK,BULK_CARRIER,Ivan Petrov
Poseidon 50,1950,China,BULK_CARRIER,John Smith
Odyssey 62,1950,UK,TANKER,Carlos Sanchez
Aurora 79,1950,UK,PASSENGER,William Brown
Viking 13,1950,USA,PASSENGER,William Brown
Aurora 66,1950,UK,TANKER,Carlos Sanchez
Aurora 14,1950,Germany,BULK_CARRIER,Li Wei
Neptune 55,1950,Japan,BULK_CARRIER,Hans Müller
Neptune 68,1950,Germany,TANKER,Hans Müller
Poseidon 76,1950,Russia,BULK_CARRIER,Carlos Sanchez
Poseidon 40,1950,Russia,PASSENGER,Jean Dupont
Viking 93,1950,Japan,PASSENGER,Hans Müller
Viking 7,1950,Germany,TANKER,Jean Dupont
Poseidon 19,1950,China,TANKER,Jean Dupont
Enterprise 32,1950,Japan,PASSENGER,Carlos Sanchez
Odyssey 9,1950,UK,BULK_CARRIER,Carlos Sanchez
Enterprise 4,1950,France,BULK_CARRIER,Hans Müller
Nautilus 85,1950,USA,PASSENGER,William Brown
Poseidon 45,1950,Russia,PASSENGER,Carlos Sanchez
Viking 94,1950,Japan,PASSENGER,Jean Dupont
Aurora 83,1950,USA,TANKER,Hans Müller
Nautilus 75,1950,France,TANKER,William Brown
Viking 71,1950,Japan,PASSENGER,Jean Dupont
Aurora 10,1951,China,TANKER,Ivan Petrov
Nautilus 7,1951,UK,TANKER,Ivan Petrov
Enterprise 94,1951,UK,BULK_CARRIER,Jean Dupont
Titanic 36,1951,USA,BULK_CARRIER,Hans Müller
Viking 2,1951,France,BULK_CARRIER,Hans Müller
Titanic 99,1951,Japan,TANKER,Li Wei
Titanic 9,1951,Japan,TANKER,Jean Dupont
Viking 21,1951,USA,BULK_CARRIER,Jean Dupont
Neptune 69,1951,Russia,BULK_CARRIER,Ivan Petrov
Titanic 50,1951,China,BULK_CARRIER,William Brown
Nautilus 84,1951,Japan,BULK_CARRIER,Jean Dupont
Aurora 44,1951,Japan,PASSENGER,Hans Müller
Nautilus 49,1951,Japan,PASSENGER,Jean Dupont
Viking 37,1951,USA,PASSENGER,Carlos Sanchez
Poseidon 60,1951,China,PASSENGER,Li Wei
Poseidon 9,1951,Japan,TANKER,Ivan Petrov
Odyssey 2,1951,France,TANKER,Jean Dupont
Viking 43,1951,Germany,TANKER,Li Wei
Neptune 31,1951,Japan,PASSENGER,Jean Dupont
Viking 47,1951,UK,PASSENGER,Ivan Petrov
Titanic 71,1951,Japan,BULK_CARRIER,John Smith
Odyssey 67,1951,UK,PASSENGER,Ivan Petrov
Odyssey 88,1951,Russia,BULK_CARRIER,Jean Dupont
Odyssey 92,1951,Russia,BULK_CARRIER,William Brown
Poseidon 29,1951,UK,BULK_CARRIER,William Brown
Nautilus 83,1951,France,BULK_CARRIER,Ivan Petrov
Titanic 16,1951,USA,BULK_CARRIER,William Brown
Aurora 69,1951,Russia,PASSENGER,Jean Dupont
Odyssey 41,1951,France,TANKER,Jean Dupont
Neptune 38,1951,France,PASSENGER,John Smith
Poseidon 59,1951,Japan,TANKER,Hans Müller
Poseidon 40,1951,China,BULK_CARRIER,William Brown
Enterprise 95,1951,Russia,TANKER,William Brown
Titanic 49,1951,Germany,TANKER,Carlos Sanchez
Nautilus 11,1951,Germany,BULK_CARRIER,Li Wei
Odyssey 52,1951,France,PASSENGER,Jean Dupont
Enterprise 38,1951,China,PASSENGER,John Smith
Enterprise 25,1951,UK,PASSENGER,Ivan Petrov
Aurora 80,1951,UK,BULK_CARRIER,Hans Müller
Viking 18,1951,China,PASSENGER,John Smith
Aurora 9,1951,France,BULK_CARRIER,William Brown
Odyssey 75,1951,China,PASSENGER,John Smith
Poseidon 91,1951,China,TANKER,Hans Müller
Enterprise 63,1951,Germany,TANKER,Hans Müller
Odyssey 84,1951,Russia,TANKER,Ivan Petrov
Nautilus 88,1951,Russia,BULK_CARRIER,John Smith
Aurora 56,1951,UK,BULK_CARRIER,John Smith
Enterprise 15,1951,China,PASSENGER,Ivan Petrov
Aurora 88,1952,Germany,TANKER,Ivan Petrov
Titanic 78,1952,UK,TANKER,William Brown
Nautilus 36,1952,USA,TANKER,John Smith
Odyssey 55,1952,Japan,BULK_CARRIER,Ivan Petrov
Poseidon 2,1952,USA,PASSENGER,Li Wei
Titanic 59,1952,Russia,PASSENGER,Ivan Petrov
Viking 11,1952,Germany,PASSENGER,John Smith
Enterprise 51,1952,UK,PASSENGER,Ivan Petrov
Enterprise 1,1952,Germany,BULK_CARRIER,Jean Dupont
Titanic 37,1952,Russia,TANKER,Hans Müller
Odyssey 64,1952,Germany,TANKER,Ivan Petrov
Viking 35,1952,Japan,PASSENGER,Jean Dupont
Odyssey 10,1952,UK,BULK_CARRIER,Jean Dupont
Titanic 96,1952,Germany,PASSENGER,John Smith
Nautilus 89,1952,USA,PASSENGER,John Smith
Aurora 9,1952,USA,TANKER,William Brown
Enterprise 67,1952,Germany,PASSENGER,Carlos Sanchez
Viking 28,1952,UK,BULK_CARRIER,Jean Dupont
Viking 31,1952,Japan,TANKER,John Smith
Titanic 85,1952,China,TANKER,William Brown
Titanic 65,1952,China,PASSENGER,Hans Müller
Poseidon 55,1952,Russia,BULK_CARRIER,Jean Dupont
Odyssey 79,1952,UK,TANKER,Li Wei
Enterprise 12,1952,Russia,BULK_CARRIER,William Brown
Poseidon 84,1952,UK,TANKER,William Brown
Nautilus 37,1952,USA,BULK_CARRIER,Hans Müller
Aurora 14,1952,France,TANKER,Ivan Petrov
Nautilus 91,1952,Russia,BULK_CARRIER,William Brown
Aurora 55,1952,France,PASSENGER,William Brown
Viking 33,1952,Russia,PASSENGER,John Smith
Viking 10,1952,Germany,TANKER,John Smith
Poseidon 34,1952,France,PASSENGER,Ivan Petrov
Viking 11,1952,Russia,TANKER,John Smith
Aurora 15,1952,USA,BULK_CARRIER,Jean Dupont
Viking 9,1952,USA,PASSENGER,Carlos Sanchez
Titanic 79,1952,Russia,PASSENGER,Ivan Petrov
Odyssey 47,1952,France,BULK_CARRIER,John Smith
Enterprise 100,1952,USA,PASSENGER,Hans Müller
Odyssey 19,1952,Russia,BULK_CARRIER,Ivan Petrov
Aurora 90,1952,Russia,TANKER,Li Wei
Nautilus 35,1952,USA,PASSENGER,Jean Dupont
Aurora 62,1952,France,BULK_CARRIER,Jean Dupont
Neptune 39,1952,UK,BULK_CARRIER,Jean Dupont
Nautilus 57,1952,Germany,BULK_CARRIER,Li Wei
Aurora 47,1952,China,BULK_CARRIER,William Brown
Poseidon 54,1952,UK,PASSENGER,Jean Dupont
Viking 86,1952,France,TANKER,John Smith
Enterprise 97,1952,France,PASSENGER,William Brown
Viking 85,1952,China,PASSENGER,Carlos Sanchez
Titanic 1,1952,Japan,TANKER,Hans Müller
Viking 44,1952,Russia,PASSENGER,William Brown
Poseidon 98,1952,France,TANKER,Ivan Petrov
Poseidon 93,1952,USA,TANKER,John Smith
Neptune 20,1952,France,BULK_CARRIER,Carlos Sanchez
Nautilus 25,1952,France,TANKER,Li Wei
Aurora 71,1952,China,PASSENGER,Jean Dupont
Neptune 41,1952,Russia,TANKER,William Brown
Viking 95,1952,Germany,TANKER,Jean Dupont
Neptune 10,1952,France,TANKER,Ivan Petrov
Nautilus 66,1952,China,PASSENGER,William Brown
Poseidon 50,1952,China,BULK_CARRIER,John Smith
Titanic 39,1952,Japan,TANKER,Hans Müller
Titanic 34,1953,Japan,PASSENGER,Ivan Petrov
Viking 49,1953,Germany,TANKER,Jean Dupont
Nautilus 78,1953,Germany,BULK_CARRIER,Hans Müller
Enterprise 87,1953,USA,BULK_CARRIER,Ivan Petrov
Poseidon 91,1953,Japan,TANKER,John Smith
Odyssey 31,1953,UK,BULK_CARRIER,Ivan Petrov
Odyssey 74,1953,Germany,TANKER,Hans Müller
Poseidon 91,1953,Germany,BULK_CARRIER,Carlos Sanchez
Odyssey 34,1953,France,TANKER,Jean Dupont
Titanic 53,1953,Japan,BULK_CARRIER,Ivan Petrov
Viking 11,1953,Russia,BULK_CARRIER,John Smith
Odyssey 41,1953,France,BULK_CARRIER,Carlos Sanchez
Aurora 76,1953,Russia,TANKER,Carlos Sanchez
Titanic 75,1953,China,PASSENGER,Jean Dupont
Viking 31,1953,Japan,PASSENGER,Ivan Petrov
Poseidon 64,1953,Germany,TANKER,Li Wei
Enterprise 56,1953,Japan,PASSENGER,John Smith
Aurora 26,1953,UK,BULK_CARRIER,Li Wei
Enterprise 95,1953,France,BULK_CARRIER,Jean Dupont
Neptune 37,1953,Japan,TANKER,Ivan Petrov
Enterprise 87,1953,France,BULK_CARRIER,Carlos Sanchez
Poseidon 17,1953,USA,BULK_CARRIER,John Smith
Nautilus 18,1953,Japan,PASSENGER,Li Wei
Titanic 46,1953,Germany,PASSENGER,Jean Dupont
Viking 61,1953,China,BULK_CARRIER,Carlos Sanchez
Titanic 65,1953,Germany,TANKER,Carlos Sanchez
Enterprise 19,1953,USA,TANKER,Hans Müller
Viking 18,1953,Germany,BULK_CARRIER,Ivan Petrov
Titanic 16,1953,UK,BULK_CARRIER,Jean Dupont
Enterprise 54,1953,UK,TANKER,Carlos Sanchez
Odyssey 80,1953,Russia,TANKER,John Smith
Odyssey 53,1953,Russia,BULK_CARRIER,Li Wei
Nautilus 8,1953,USA,PASSENGER,Jean Dupont
Nautilus 2,1953,China,PASSENGER,William Brown
Poseidon 6,1953,China,BULK_CARRIER,Li Wei
Enterprise 30,1953,Germany,BULK_CARRIER,Carlos Sanchez
Neptune 28,1953,France,PASSENGER,Jean Dupont
Poseidon 7,1953,Japan,PASSENGER,Carlos Sanchez
Poseidon 65,1953,UK,BULK_CARRIER,John Smith
Viking 84,1953,Japan,PASSENGER,Hans Müller
Viking 94,1953,USA,PASSENGER,Ivan Petrov
Odyssey 8,1953,Japan,TANKER,Hans Müller
Enterprise 7,1953,UK,TANKER,John Smith
Aurora 31,1953,Japan,PASSENGER,John Smith
Viking 11,1953,Russia,BULK_CARRIER,Ivan Petrov
Neptune 51,1953,Germany,TANKER,Carlos Sanchez
Enterprise 99,1953,Japan,BULK_CARRIER,William Brown
Poseidon 41,1953,USA,TANKER,Jean Dupont
Viking 30,1953,USA,TANKER,Li Wei
Aurora 64,1953,Japan,TANKER,Ivan Petrov
Odyssey 97,1953,Russia,PASSENGER,Ivan Petrov
Odyssey 66,1953,Japan,TANKER,Carlos Sanchez
Poseidon 46,1953,France,BULK_CARRIER,John Smith
Nautilus 52,1953,USA,PASSENGER,Jean Dupont
Nautilus 19,1953,France,PASSENGER,Jean Dupont
Poseidon 87,1953,UK,TANKER,Carlos Sanchez
Odyssey 89,1953,China,TANKER,William Brown
Aurora 26,1953,USA,TANKER,Carlos Sanchez
Nautilus 17,1953,USA,BULK_CARRIER,William Brown
Neptune 90,1953,China,TANKER,William Brown
Poseidon 32,1953,Japan,BULK_CARRIER,John Smith
