Name,Year,Country,Type,Captain
Nautilus 71,1950,Germany,PASSENGER,Li Wei
Odyssey 41,1950,Japan,TANKER,Carlos Sanchez
Aurora 94,1950,France,PASSENGER,Jean Dupont
Poseidon 15,1950,Russia,BULK_CARRIER,Li Wei
Odyssey 29,1950,France,TANKER,Li Wei
Neptune 4,1950,Russia,BULK_CARRIER,Jean Dupont
Viking 31,1950,USA,TANKER,John Smith
Poseidon 41,1950,UK,PASSENGER,Jean Dupont
Nautilus 92,1950,USA,TANKER,Jean Dupont
Nautilus 52,1950,UK,BULK_CARRIER,John Smith
Titanic 64,1950,Russia,PASSENGER,Carlos Sanchez
Aurora 28,1950,Germany,PASSENGER,William Brown
Titanic 96,1950,Japan,PASSENGER,Ivan Petrov
Odyssey 32,1950,Germany,TANKER,Ivan Petrov
Odyssey 71,1950,UK,TANKER,Ivan Petrov
Poseidon 48,1950,China,TANKER,Li Wei
Enterprise 58,1950,Russia,TANKER,Carlos Sanchez
Enterprise 7,1950,USA,PASSENGER,William Brown
Enterprise 54,1950,USA,TANKER,John Smith
Odyssey 34,1950,France,TANKER,Li Wei
Titanic 21,1950,UK,TANKER,William Brown
Enterprise 36,1950,USA,PASSENGER,Jean Dupont
Enterprise 85,1950,Germany,PASSENGER,Li Wei
Odyssey 60,1950,USA,TANKER,Carlos Sanchez
Titanic 89,1950,China,BULK_CARRIER,Li Wei
Nautilus 47,1950,Japan,TANKER,Hans Müller
Odyssey 44,1950,UK,BULK_CARRIER,Hans Müller
Titanic 45,1950,Japan,PASSENGER,Ivan Petrov
Odyssey 23,1950,Russia,PASSENGER,John Smith
Viking 33,1950,UK,PASSENGER,Ivan Petrov
Poseidon 81,1950,UK,PASSENGER,Hans Müller
Titanic 35,1950,Germany,PASSENGER,Hans Müller
Odyssey 26,1950,France,TANKER,Jean Dupont
Nautilus 69,1950,France,TANKER,Li Wei
Aurora 31,1950,France,TANKER,Li Wei
Neptune 27,1950,USA,PASSENGER,John Smith
Titanic 39,1950,Russia,TANKER,Li Wei
Viking 34,1950,France,TANKER,John Smith
Viking 83,1950,Japan,TANKER,John Smith
Poseidon 92,1950,China,BULK_CARRIER,Li Wei
Titanic 63,1950,France,BULK_CARRIER,Ivan Petrov
Poseidon 32,1950,Germany,BULK_CARRIER,John Smith
Poseidon 42,1950,Germany,TANKER,Li Wei
Nautilus 31,1950,UK,BULK_CARRIER,Hans Müller
Aurora 15,1950,USA,BULK_CARRIER,Jean Dupont
Aurora 76,1950,Japan,TANKER,Ivan Petrov
Odyssey 35,1950,France,PASSENGER,Li Wei
Neptune 5,1950,UK,BULK_CARRIER,Li Wei
Poseidon 19,1950,France,BULK_CARRIER,John Smith
Aurora 90,1950,France,PASSENGER,Carlos Sanchez
Viking 24,1950,Russia,PASSENGER,Li Wei
Poseidon 21,1950,France,TANKER,William Brown
Poseidon 15,1950,France,BULK_CARRIER,Li Wei
Viking 21,1950,France,PASSENGER,Carlos Sanchez
Aurora 88,1950,Russia,PASSENGER,William Brown
Poseidon 50,1950,France,TANKER,William Brown
Enterprise 14,1950,Japan,BULK_CARRIER,William Brown
Neptune 97,1950,UK,BULK_CARRIER,Jean Dupont
Enterprise 94,1950,China,PASSENGER,William Brown
Aurora 7,1950,USA,BULK_CARRIER,Ivan Petrov
Poseidon 82,1950,France,BULK_CARRIER,Ivan Petrov
Aurora 65,1950,France,PASSENGER,Hans Müller
Poseidon 3,1950,France,PASSENGER,Ivan Petrov
Poseidon 29,1950,Japan,TANKER,John Smith
Enterprise 87,1950,Russia,PASSENGER,William Brown
Nautilus 69,1950,USA,BULK_CARRIER,William Brown
Aurora 39,1950,USA,BULK_CARRIER,Ivan Petrov
Poseidon 29,1950,France,TANKER,Jean Dupont
Odyssey 38,1950,Japan,BULK_CARRIER,Carlos Sanchez
Aurora 89,1950,Germany,BULK_CARRIER,Li Wei
Odyssey 80,1950,France,TANKER,John Smith
Neptune 21,1950,Japan,PASSENGER,William Brown
Enterprise 46,1950,France,BULK_CARRIER,William Brown
Nautilus 19,1950,France,BULK_CARRIER,Carlos Sanchez
Poseidon 4,1950,Russia,PASSENGER,Carlos Sanchez
Viking 11,1950,USA,PASSENGER,Hans Müller
Aurora 77,1950,Japan,PASSENGER,Hans Müller
Neptune 23,1950,USA,PASSENGER,Jean Dupont
Nautilus 86,1950,Russia,TANKER,William Brown
Poseidon 84,1950,UK,PASSENGER,Ivan Petrov
Aurora 77,1950,UK,TANKER,Ivan Petrov
Odyssey 45,1950,Germany,PASSENGER,William Brown
Poseidon 23,1950,France,PASSENGER,Ivan Petrov
Viking 77,1950,USA,BULK_CARRIER,Hans Müller
Neptune 74,1950,Germany,BULK_CARRIER,John Smith
Nautilus 46,1950,France,PASSENGER,William Brown
Nautilus 60,1950,China,BULK_CARRIER,Ivan Petrov
Viking 20,1950,Japan,BULK_CARRIER,Hans Müller
Viking 72,1950,Russia,TANKER,William Brown
Enterprise 41,1950,Russia,BULK_CARRIER,William Brown
Nautilus 39,1950,Japan,PASSENGER,John Smith
Poseidon 45,1950,Germany,TANKER,Li Wei
Nautilus 42,1950,Russia,TANKER,Carlos Sanchez
Poseidon 96,1950,Germany,BULK_CARRIER,Jean Dupont
Odyssey 28,1950,Germany,BULK_CARRIER,Carlos Sanchez
Neptune 86,1950,Germany,BULK_CARRIER,Carlos Sanchez
Neptune 94,1950,Russia,BULK_CARRIER,William Brown
Titanic 38,1950,France,TANKER,Carlos Sanchez
Poseidon 11,1950,Germany,PASSENGER,Hans Müller
Aurora 85,1950,France,TANKER,Hans Müller
Enterprise 85,1950,UK,BULK_CARRIER,Ivan Petrov
Enterprise 13,1950,Russia,TANKER,Li Wei
Nautilus 8,1950,UK,PASSENGER,John Smith
Poseidon 50,1950,China,PASSENGER,Hans Müller
Neptune 8,1950,USA,TANKER,Jean Dupont
Poseidon 3,1950,Russia,BULK_CARRIER,Carlos Sanchez
Neptune 53,1950,Germany,BULK_CARRIER,Ivan Petrov
Aurora 1,1950,China,TANKER,William Brown
Viking 41,1950,USA,PASSENGER,Carlos Sanchez
Viking 42,1950,UK,PASSENGER,Hans Müller
Titanic 11,1950,USA,PASSENGER,Carlos Sanchez
Odyssey 63,1950,UK,PASSENGER,Carlos Sanchez
Poseidon 9,1950,France,PASSENGER,Hans Müller
Odyssey 4,1950,USA,BULK_CARRIER,Li Wei
Viking 37,1950,USA,PASSENGER,John Smith
Aurora 25,1950,Russia,PASSENGER,Hans Müller
Odyssey 54,1950,UK,TANKER,John Smith
Aurora 84,1950,Russia,BULK_CARRIER,John Smith
Odyssey 13,1950,Russia,PASSENGER,Li Wei
Titanic 38,1950,France,PASSENGER,Li Wei
Poseidon 35,1950,Germany,BULK_CARRIER,Jean Dupont
Aurora 14,1950,USA,TANKER,William Brown
Nautilus 58,1950,France,TANKER,Ivan Petrov
Titanic 68,1950,Japan,PASSENGER,Jean Dupont
Nautilus 70,1950,UK,BULK_CARRIER,Li Wei
Aurora 23,1950,UK,PASSENGER,Carlos Sanchez
Odyssey 9,1950,China,PASSENGER,Jean Dupont
Poseidon 53,1950,UK,PASSENGER,Jean Dupont
Nautilus 4,1950,UK,PASSENGER,Li Wei
Viking 74,1950,Japan,TANKER,Jean Dupont
Enterprise 18,1950,China,BULK_CARRIER,Ivan Petrov
Poseidon 1,1950,UK,BULK_CARRIER,William Brown
Titanic 12,1950,USA,TANKER,Ivan Petrov
Enterprise 38,1950,France,TANKER,Carlos Sanchez
Titanic 68,1950,China,BULK_CARRIER,Jean Dupont
Viking 64,1950,China,PASSENGER,John Smith
Viking 6,1950,Germany,PASSENGER,John Smith
Poseidon 61,1950,Germany,BULK_CARRIER,William Brown
Viking 17,1950,France,BULK_CARRIER,Li Wei
Aurora 62,1950,UK,BULK_CARRIER,William Brown
Neptune 69,1950,Russia,PASSENGER,Li Wei
Titanic 72,1950,Russia,PASSENGER,Jean Dupont
Aurora 63,1950,USA,BULK_CARRIER,Carlos Sanchez
Odyssey 59,1950,Russia,TANKER,Hans Müller
Aurora 17,1950,USA,PASSENGER,Li Wei
Enterprise 84,1950,France,BULK_CARRIER,Li Wei
Titanic 36,1950,France,BULK_CARRIER,Jean Dupont
Nautilus 93,1950,USA,BULK_CARRIER,William Brown
Poseidon 44,1950,UK,PASSENGER,John Smith
Enterprise 61,1950,China,TANKER,Carlos Sanchez
Viking 48,1950,UK,PASSENGER,Li Wei
Aurora 14,1950,USA,TANKER,Carlos Sanchez
Titanic 7,1950,USA,BULK_CARRIER,Li Wei
Neptune 3,1950,Germany,TANKER,William Brown
Nautilus 20,1950,UK,TANKER,Jean Dupont
Nautilus 47,1950,France,TANKER,Carlos Sanchez
Enterprise 60,1950,Russia,TANKER,Carlos Sanchez
Titanic 51,1950,UK,TANKER,William Brown
Enterprise 38,1950,France,PASSENGER,Hans Müller
Neptune 93,1950,Japan,PASSENGER,Jean Dupont
Nautilus 16,1950,UK,BULK_CARRIER,Carlos Sanchez
Poseidon 8,1950,France,BULK_CARRIER,Hans Müller
Odyssey 21,1950,UK,TANKER,Li Wei
Viking 64,1950,Germany,PASSENGER,Carlos Sanchez
Neptune 38,1950,UK,BULK_CARRIER,Ivan Petrov
Nautilus 35,1950,USA,BULK_CARRIER,Carlos Sanchez
Titanic 81,1950,France,PASSENGER,John Smith
Aurora 96,1950,Russia,BULK_CARRIER,Hans Müller
Titanic 68,1950,UK,PASSENGER,Jean Dupont
Odyssey 33,1950,China,PASSENGER,Jean Dupont
Aurora 47,1950,China,TANKER,Carlos Sanchez
Enterprise 66,1950,Japan,BULK_CARRIER,William Brown
Aurora 59,1950,Russia,BULK_CARRIER,Ivan Petrov
Neptune 68,1950,UK,TANKER,William Brown
Nautilus 55,1950,Japan,PASSENGER,William Brown
Titanic 86,1950,Russia,PASSENGER,Jean Dupont
Aurora 36,1950,China,TANKER,William Brown
Aurora 26,1950,China,TANKER,Hans Müller
Odyssey 81,1950,USA,BULK_CARRIER,Carlos Sanchez
Nautilus 68,1950,UK,PASSENGER,Li Wei
Nautilus 63,1950,France,BULK_CARRIER,Jean Dupont
Neptune 97,1950,Russia,TANKER,Jean Dupont
Poseidon 100,1950,USA,PASSENGER,John Smith
Viking 76,1950,Russia,TANKER,Carlos Sanchez
Odyssey 64,1950,Germany,PASSENGER,William Brown
Neptune 61,1950,Russia,BULK_CARRIER,John Smith
Odyssey 20,1950,China,TANKER,Carlos Sanchez
Titanic 41,1950,China,TANKER,Carlos Sanchez
Nautilus 70,1950,USA,TANKER,Jean Dupont
Nautilus 87,1950,Japan,BULK_CARRIER,Jean Dupont
Odyssey 89,1950,Japan,PASSENGER,William Brown
Titanic 2,1950,Russia,PASSENGER,John Smith
Titanic 33,1950,China,TANKER,Li Wei
Nautilus 27,1950,France,BULK_CARRIER,Carlos Sanchez
Neptune 9,1950,UK,BULK_CARRIER,Hans Müller
Aurora 41,1950,USA,BULK_CARRIER,Ivan Petrov
Aurora 1,1950,USA,BULK_CARRIER,William Brown
Odyssey 16,1950,China,TANKER,Ivan Petrov
Neptune 83,1950,USA,PASSENGER,William Brown
Odyssey 66,1950,Japan,PASSENGER,Ivan Petrov
Viking 4,1950,China,PASSENGER,William Brown
Viking 31,1950,China,BULK_CARRIER,William Brown
Nautilus 51,1950,China,BULK_CARRIER,Hans Müller
Neptune 26,1950,Germany,PASSENGER,Jean Dupont
Enterprise 73,1950,USA,TANKER,Jean Dupont
Odyssey 43,1950,Germany,BULK_CARRIER,Ivan Petrov
Poseidon 13,1950,Germany,PASSENGER,Ivan Petrov
Poseidon 71,1950,France,BULK_CARRIER,Li Wei
Enterprise 63,1950,France,TANKER,Carlos Sanchez
