Name,Year,Country,Type,Captain
Nautilus 13,2017,UK,Passenger,Jean Dupont
Odyssey 18,2018,Japan,BulkCarrier,William Brown
Aurora 77,2015,UK,Passenger,William Brown
Nautilus 62,1988,UK,Tanker,Ivan Petrov
Nautilus 51,2013,China,Tanker,William Brown
Poseidon 18,1962,UK,Passenger,Li Wei
Viking 1,1995,Russia,BulkCarrier,Hans Müller
Odyssey 87,2011,China,Passenger,Jean Dupont
Nautilus 72,1988,Germany,Tanker,Jean Dupont
Neptune 79,1980,France,Passenger,Li Wei
Nautilus 35,1989,Germany,BulkCarrier,Li Wei
Nautilus 31,1978,UK,Passenger,Li Wei
Nautilus 61,1989,China,Tanker,John Smith
Odyssey 58,2018,Germany,Tanker,Hans Müller
Poseidon 65,2024,France,Passenger,Carlos Sanchez
Nautilus 60,1977,Germany,Passenger,Li Wei
Poseidon 25,1968,Germany,Passenger,Jean Dupont
Viking 71,1950,Japan,Passenger,Jean Dupont
Enterprise 75,2010,Germany,BulkCarrier,Hans Müller
Enterprise 57,1984,USA,BulkCarrier,Li Wei
Aurora 95,1959,France,Tanker,William Brown
Neptune 38,2001,China,Passenger,Hans Müller
Poseidon 32,1953,Japan,BulkCarrier,John Smith
Odyssey 99,1983,China,Tanker,Jean Dupont
Aurora 91,2025,Russia,Tanker,Li Wei
Neptune 57,1958,China,BulkCarrier,Hans Müller
Poseidon 88,2010,UK,Passenger,Li Wei
Neptune 85,2005,USA,BulkCarrier,Hans Müller
Poseidon 83,1976,Germany,Tanker,Carlos Sanchez
Nautilus 39,2024,China,Passenger,William Brown
Aurora 50,1996,UK,Tanker,Hans Müller
Nautilus 85,1954,USA,BulkCarrier,William Brown
Poseidon 3,1993,Russia,BulkCarrier,John Smith
Aurora 93,2004,Russia,BulkCarrier,John Smith
Aurora 93,2001,Japan,BulkCarrier,Carlos Sanchez
Neptune 3,2023,UK,BulkCarrier,Li Wei
Neptune 4,1994,USA,Tanker,Ivan Petrov
Enterprise 49,2003,USA,Tanker,Li Wei
Odyssey 96,1974,Germany,BulkCarrier,Carlos Sanchez
Odyssey 90,1971,Russia,BulkCarrier,Carlos Sanchez
Neptune 53,1988,USA,Passenger,Ivan Petrov
Poseidon 20,1977,China,Passenger,Hans Müller
Neptune 47,1959,Japan,Passenger,John Smith
Neptune 77,1961,Russia,Tanker,Jean Dupont
Aurora 19,1959,China,BulkCarrier,Carlos Sanchez
Viking 68,2019,France,Tanker,Jean Dupont
Nautilus 60,1993,Germany,Passenger,Ivan Petrov
Viking 31,2007,Germany,BulkCarrier,Li Wei
Nautilus 75,1950,France,Tanker,William Brown
Odyssey 32,1962,Germany,Passenger,Carlos Sanchez
Odyssey 35,1995,USA,BulkCarrier,John Smith
Nautilus 42,1962,UK,BulkCarrier,Li Wei
Nautilus 76,1991,France,Tanker,John Smith
Neptune 32,2018,France,BulkCarrier,Hans Müller
Enterprise 1,1985,Russia,Passenger,Ivan Petrov
Poseidon 27,2012,Germany,Passenger,Carlos Sanchez
Odyssey 15,1978,France,BulkCarrier,Ivan Petrov
Viking 30,1995,UK,Passenger,William Brown
Aurora 83,1950,USA,Tanker,Hans Müller
Odyssey 60,1973,UK,BulkCarrier,Li Wei
Titanic 36,2025,Japan,Passenger,Jean Dupont
Nautilus 11,1996,Russia,BulkCarrier,William Brown
Nautilus 24,1990,China,Tanker,Li Wei
Nautilus 85,1999,UK,Tanker,Li Wei
Enterprise 15,1951,China,Passenger,Ivan Petrov
Viking 38,1969,France,Tanker,Jean Dupont
Enterprise 27,1969,Germany,Passenger,Ivan Petrov
Titanic 33,2007,Japan,Tanker,Hans Müller
Odyssey 7,1992,Germany,Tanker,John Smith
Odyssey 14,2013,Germany,BulkCarrier,Ivan Petrov
Nautilus 30,2001,Germany,Passenger,Jean Dupont
Enterprise 96,2010,Russia,Passenger,Carlos Sanchez
Poseidon 84,1960,Germany,Tanker,Ivan Petrov
Aurora 57,1955,UK,BulkCarrier,Carlos Sanchez
Titanic 68,1961,Germany,Passenger,Li Wei
Aurora 45,1974,France,Passenger,Carlos Sanchez
Aurora 98,1974,Russia,Tanker,Jean Dupont
Enterprise 79,1976,USA,Passenger,Li Wei
Poseidon 4,2011,UK,BulkCarrier,Carlos Sanchez
Poseidon 94,2014,Germany,BulkCarrier,William Brown
Titanic 47,2004,Japan,BulkCarrier,John Smith
Odyssey 61,1981,Germany,BulkCarrier,Carlos Sanchez
Aurora 56,1951,UK,BulkCarrier,John Smith
Viking 2,2007,Russia,BulkCarrier,Carlos Sanchez
Titanic 84,1993,China,BulkCarrier,Li Wei
Viking 13,2017,Russia,Passenger,William Brown
Viking 7,2011,Japan,BulkCarrier,Li Wei
Titanic 39,1952,Japan,Tanker,Hans Müller
Viking 94,1950,Japan,Passenger,Jean Dupont
Neptune 34,2022,USA,BulkCarrier,Li Wei
Viking 33,2006,France,BulkCarrier,William Brown
Titanic 58,2017,USA,Passenger,Jean Dupont
Odyssey 74,1978,Russia,Tanker,William Brown
Aurora 69,1990,Russia,Passenger,Hans Müller
Nautilus 9,2011,Russia,Tanker,Jean Dupont
Nautilus 5,2023,Russia,Tanker,Ivan Petrov
Aurora 37,1954,Russia,Tanker,Ivan Petrov
Titanic 82,1970,Russia,Tanker,Hans Müller
Aurora 49,1955,France,BulkCarrier,Hans Müller
Titanic 8,2025,UK,Tanker,Li Wei
Nautilus 77,2005,France,Tanker,John Smith
Viking 44,1975,France,Passenger,Ivan Petrov
Neptune 81,1985,China,Passenger,Jean Dupont
Enterprise 12,1954,Germany,Tanker,Jean Dupont
Poseidon 54,1963,France,BulkCarrier,William Brown
Nautilus 5,1992,Germany,BulkCarrier,William Brown
Viking 18,1998,Russia,Tanker,Li Wei
Viking 100,2018,UK,BulkCarrier,Hans Müller
Poseidon 88,1987,UK,BulkCarrier,Hans Müller
Poseidon 40,2003,Japan,BulkCarrier,Carlos Sanchez
Enterprise 39,1964,USA,Tanker,Li Wei
Enterprise 58,1963,UK,BulkCarrier,John Smith
