Name,Year,Country,Type,Captain
Titanic 81,2007,China,Tanker,William Brown
Nautilus 3,1975,Russia,Tanker,Hans Müller
Enterprise 26,1982,Japan,Passenger,Ivan Petrov
Viking 46,2023,China,BulkCarrier,Jean Dupont
Enterprise 33,1965,France,Tanker,Ivan Petrov
Neptune 45,1987,Japan,Tanker,Ivan Petrov
Neptune 21,1989,China,BulkCarrier,Hans Müller
Odyssey 88,1999,UK,Passenger,John Smith
Enterprise 34,1956,China,BulkCarrier,Ivan Petrov
Aurora 34,1964,Russia,BulkCarrier,William Brown
Aurora 89,1981,China,BulkCarrier,Jean Dupont
Viking 56,1963,Russia,Tanker,John Smith
Viking 62,1967,Germany,BulkCarrier,Hans Müller
Neptune 36,2020,Japan,Tanker,Hans Müller
Odyssey 7,2019,Japan,Tanker,Jean Dupont
Poseidon 37,1969,UK,Tanker,Ivan Petrov
Odyssey 2,1997,France,Passenger,Ivan Petrov
Poseidon 80,1969,Japan,Passenger,John Smith
Poseidon 89,2005,France,Passenger,John Smith
Neptune 78,2019,Germany,BulkCarrier,Hans Müller
Viking 36,1984,France,Tanker,Hans Müller
Poseidon 98,2011,China,Passenger,Jean Dupont
Titanic 89,1996,Japan,Passenger,Jean Dupont
Odyssey 47,2014,Japan,Tanker,William Brown
Aurora 9,1974,USA,BulkCarrier,John Smith
Odyssey 9,1992,China,BulkCarrier,Carlos Sanchez
Neptune 62,1982,UK,BulkCarrier,Ivan Petrov
Odyssey 32,1970,USA,Tanker,William Brown
Titanic 10,1950,UK,Passenger,Ivan Petrov
Nautilus 86,1993,France,Tanker,Li Wei
Neptune 60,1996,France,Passenger,John Smith
Poseidon 10,1994,China,BulkCarrier,Jean Dupont
Titanic 36,1967,China,Tanker,John Smith
Neptune 28,1973,Germany,Passenger,William Brown
Titanic 60,2009,Germany,Tanker,Jean Dupont
Nautilus 7,2021,Russia,Tanker,Carlos Sanchez
Nautilus 37,1969,Germany,Tanker,John Smith
Viking 57,2006,Germany,Tanker,William Brown
Aurora 24,1975,UK,BulkCarrier,Jean Dupont
Neptune 23,1999,USA,BulkCarrier,Hans Müller
Odyssey 3,1975,UK,Tanker,Hans Müller
Enterprise 55,1998,Japan,Passenger,Carlos Sanchez
Neptune 33,2002,China,BulkCarrier,Li Wei
Enterprise 69,1953,France,Tanker,William Brown
Titanic 95,1991,Germany,Passenger,William Brown
Poseidon 89,1997,China,Passenger,Ivan Petrov
Neptune 9,1967,UK,Tanker,Li Wei
Poseidon 69,1956,Japan,Tanker,Li Wei
Nautilus 67,1996,Japan,Tanker,Carlos Sanchez
Titanic 44,2013,Russia,Tanker,Carlos Sanchez
Enterprise 23,1986,Germany,Tanker,Ivan Petrov
Nautilus 20,1989,Germany,Tanker,Jean Dupont
Enterprise 80,1954,Japan,Passenger,Jean Dupont
Aurora 14,1988,Germany,Tanker,William Brown
Odyssey 10,1980,China,Passenger,Carlos Sanchez
Neptune 26,1958,UK,BulkCarrier,Li Wei
Odyssey 69,1970,USA,Tanker,William Brown
Titanic 23,1970,UK,Tanker,Hans Müller
